ovr_id,last_check_date,next_check_date,permid,issuer_name,ovr_target,source_value,ovr_value,ovr_active,og_srating,og_exposure,og_controversy,og_committee,company_inheriting,parent_company,inherited_ovr,inhert_ovr_id,comments,evidence,ovr_log,brs_id
ovr000015,01/09/2024,01/03/2025,5000030092,ArcelorMittal SA,str_005,OK,EXCLUDED,True,,,,x,False,,False,,"Update dic-23: Se sigue aplicando el overwrite de ""OK"" en las estrategias afectadas por el porcentaje de exposición a Cluster Bombs. Según Clarity esta compañía está expuesta a la participación en la fabricación de bombas de racimo por la financiación de China Aerospace Science and Industry Group y de Norinco Group. Desde ISR consideramos que esto no es motivo suficiente para excluir a una compañía financiera, ya que no es posible especificar cuanta financiación es destinada a ""general purpose"" y cuanta financiación va destinada al negocio de la fabricación de armamento controvertido. Adicionalmente, los valores reportados por Clarity son de 2020 y anteriores.
Revisión jul-24: se mantienen las exposiciones por las que sale exlcluido este emisor y se mantienen también los OVRs
Revisión dic-24: se mantienen los OVRs porque no han variado las exposiciones

latest_comment:
Revisada dic-24:  Se mantienen los overwrites.

sustainalytics_controv_detail:
-

exposure_detail:
Armament Part (5%), Cluster Bombs Part (5%), coal mining part (5%), Fossil Fuels part (5%), oil sands part (1%), gas fuels part (1%), oil fuels part (1%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R52993
ovr000016,01/09/2024,01/03/2025,5000030092,ArcelorMittal SA,str_006,OK,EXCLUDED,True,,,x,,False,,False,,"Update dic-23: Se sigue aplicando el overwrite de ""OK"" en las estrategias afectadas por el porcentaje de exposición a Cluster Bombs. Según Clarity esta compañía está expuesta a la participación en la fabricación de bombas de racimo por la financiación de China Aerospace Science and Industry Group y de Norinco Group. Desde ISR consideramos que esto no es motivo suficiente para excluir a una compañía financiera, ya que no es posible especificar cuanta financiación es destinada a ""general purpose"" y cuanta financiación va destinada al negocio de la fabricación de armamento controvertido. Adicionalmente, los valores reportados por Clarity son de 2020 y anteriores.
Revisión jul-24: se mantienen las exposiciones por las que sale exlcluido este emisor y se mantienen también los OVRs
Revisión dic-24: se mantienen los OVRs porque no han variado las exposiciones

latest_comment:
Revisada dic-24:  Se mantienen los overwrites.

sustainalytics_controv_detail:
-

exposure_detail:
Armament Part (5%), Cluster Bombs Part (5%), coal mining part (5%), Fossil Fuels part (5%), oil sands part (1%), gas fuels part (1%), oil fuels part (1%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R52993
ovr000017,01/09/2024,01/03/2025,5000030092,ArcelorMittal SA,art_8,OK,EXCLUDED,True,,,x,,False,,False,,"Update dic-23: Se sigue aplicando el overwrite de ""OK"" en las estrategias afectadas por el porcentaje de exposición a Cluster Bombs. Según Clarity esta compañía está expuesta a la participación en la fabricación de bombas de racimo por la financiación de China Aerospace Science and Industry Group y de Norinco Group. Desde ISR consideramos que esto no es motivo suficiente para excluir a una compañía financiera, ya que no es posible especificar cuanta financiación es destinada a ""general purpose"" y cuanta financiación va destinada al negocio de la fabricación de armamento controvertido. Adicionalmente, los valores reportados por Clarity son de 2020 y anteriores.
Revisión jul-24: se mantienen las exposiciones por las que sale exlcluido este emisor y se mantienen también los OVRs
Revisión dic-24: se mantienen los OVRs porque no han variado las exposiciones

latest_comment:
Revisada dic-24:  Se mantienen los overwrites.

sustainalytics_controv_detail:
-

exposure_detail:
Armament Part (5%), Cluster Bombs Part (5%), coal mining part (5%), Fossil Fuels part (5%), oil sands part (1%), gas fuels part (1%), oil fuels part (1%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R52993
ovr000018,01/09/2024,01/03/2025,5000030092,ArcelorMittal SA,cs_001,OK,EXCLUDED,True,,,x,,False,,False,,"Update dic-23: Se sigue aplicando el overwrite de ""OK"" en las estrategias afectadas por el porcentaje de exposición a Cluster Bombs. Según Clarity esta compañía está expuesta a la participación en la fabricación de bombas de racimo por la financiación de China Aerospace Science and Industry Group y de Norinco Group. Desde ISR consideramos que esto no es motivo suficiente para excluir a una compañía financiera, ya que no es posible especificar cuanta financiación es destinada a ""general purpose"" y cuanta financiación va destinada al negocio de la fabricación de armamento controvertido. Adicionalmente, los valores reportados por Clarity son de 2020 y anteriores.
Revisión jul-24: se mantienen las exposiciones por las que sale exlcluido este emisor y se mantienen también los OVRs
Revisión dic-24: se mantienen los OVRs porque no han variado las exposiciones

latest_comment:
Revisada dic-24:  Se mantienen los overwrites.

sustainalytics_controv_detail:
-

exposure_detail:
Armament Part (5%), Cluster Bombs Part (5%), coal mining part (5%), Fossil Fuels part (5%), oil sands part (1%), gas fuels part (1%), oil fuels part (1%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R52993
ovr000019,01/09/2024,01/03/2025,5000030092,ArcelorMittal SA,cs_002,OK,EXCLUDED,True,,,x,,False,,False,,"Update dic-23: Se sigue aplicando el overwrite de ""OK"" en las estrategias afectadas por el porcentaje de exposición a Cluster Bombs. Según Clarity esta compañía está expuesta a la participación en la fabricación de bombas de racimo por la financiación de China Aerospace Science and Industry Group y de Norinco Group. Desde ISR consideramos que esto no es motivo suficiente para excluir a una compañía financiera, ya que no es posible especificar cuanta financiación es destinada a ""general purpose"" y cuanta financiación va destinada al negocio de la fabricación de armamento controvertido. Adicionalmente, los valores reportados por Clarity son de 2020 y anteriores.
Revisión jul-24: se mantienen las exposiciones por las que sale exlcluido este emisor y se mantienen también los OVRs
Revisión dic-24: se mantienen los OVRs porque no han variado las exposiciones

latest_comment:
Revisada dic-24:  Se mantienen los overwrites.

sustainalytics_controv_detail:
-

exposure_detail:
Armament Part (5%), Cluster Bombs Part (5%), coal mining part (5%), Fossil Fuels part (5%), oil sands part (1%), gas fuels part (1%), oil fuels part (1%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",R52993
ovr000020,01/09/2024,01/03/2025,4295856605,Australia and New Zealand Banking Group Ltd,str_001,EXCLUDED,OK,True,,x,,,False,,False,,"Update dic-23: Se sigue aplicando el overwrite de ""OK"" en las estrategias afectadas por el porcentaje de exposición a Cluster Bombs. Según Clarity esta compañía está expuesta a la participación en la fabricación de bombas de racimo por la financiación de China Aerospace Science and Industry Group y de Norinco Group. Desde ISR consideramos que esto no es motivo suficiente para excluir a una compañía financiera, ya que no es posible especificar cuanta financiación es destinada a ""general purpose"" y cuanta financiación va destinada al negocio de la fabricación de armamento controvertido. Adicionalmente, los valores reportados por Clarity son de 2020 y anteriores.
Revisión jul-24: se mantienen las exposiciones por las que sale exlcluido este emisor y se mantienen también los OVRs
Revisión dic-24: se mantienen los OVRs porque no han variado las exposiciones

latest_comment:
Revisada dic-24:  Se mantienen los overwrites.

sustainalytics_controv_detail:
-

exposure_detail:
Armament Part (5%), Cluster Bombs Part (5%), coal mining part (5%), Fossil Fuels part (5%), oil sands part (1%), gas fuels part (1%), oil fuels part (1%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",052528
ovr000021,01/09/2024,01/03/2025,4295856605,Australia and New Zealand Banking Group Ltd,str_002,EXCLUDED,OK,True,,x,,,False,,False,,"Update dic-23: Se sigue aplicando el overwrite de ""OK"" en las estrategias afectadas por el porcentaje de exposición a Cluster Bombs. Según Clarity esta compañía está expuesta a la participación en la fabricación de bombas de racimo por la financiación de China Aerospace Science and Industry Group y de Norinco Group. Desde ISR consideramos que esto no es motivo suficiente para excluir a una compañía financiera, ya que no es posible especificar cuanta financiación es destinada a ""general purpose"" y cuanta financiación va destinada al negocio de la fabricación de armamento controvertido. Adicionalmente, los valores reportados por Clarity son de 2020 y anteriores.
Revisión jul-24: se mantienen las exposiciones por las que sale exlcluido este emisor y se mantienen también los OVRs
Revisión dic-24: se mantienen los OVRs porque no han variado las exposiciones

latest_comment:
Revisada dic-24:  Se mantienen los overwrites.

sustainalytics_controv_detail:
-

exposure_detail:
Armament Part (5%), Cluster Bombs Part (5%), coal mining part (5%), Fossil Fuels part (5%), oil sands part (1%), gas fuels part (1%), oil fuels part (1%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",052528
ovr000022,01/09/2024,01/03/2025,4295856605,Australia and New Zealand Banking Group Ltd,str_003,EXCLUDED,OK,True,,x,,,False,,False,,"NO APTA según Comité Inveractivo Confianza.
Pendiente decisión final. Temporalmente se permite una inversión infraponderada contra Benchmark en la STR003. 
Detalle de Clarity sobre el porcentaje de exposición: Airbus SE is the provider of ballistic missiles used in the French nuclear arsenal through its participation in the ArianeGroup (50%) and MBDA (37.5%) joint ventures. The company reports Ariane and MBDA total revenues in its 2021 annual report, p23 which amount to 3.15 billion EUR (taking into account Airbus' share) and accounts for approx 6% of Airbus' total revenues (ranging between 0%-10%).
Update dic-23: se aplican overwrites a las estrategias afectadas que reflejan las decisiones tomadas sobre la exposición a cada una de las actividades controvertidas que derivan en exclusiones:
1. Nuclear weapons (15%). Tras el análisis detallado de toda la información disponible. Jose Mazoy decidió que la exposición a nuclear weapons no es correcta, por lo que se dejan de tener en cuenta los valores del feed de Clarity para esa actividad.
2. Armament Prod/Part (15-25%). Se considera que la producción no supera los 12% y la participación es incluso menor.
3. Controversia no significativa  (nivel 3 en Sustainalytics). Se aplica el overwrite de OK.
Update Mar-24: se lleva a cabo la reunión de revisión en la que se comprueban que no han habido cambios en los KPIs propuestos, por lo que se emplaza la nueva revisión en un plazo de seis meses a contar desde este mes 
Update Sep - 24: tras no encontrarse evidencias de cambios en los KPIs q se monitorizan cada seis meses, se mantienen los ovrs

latest_comment:
En revisión ad-hoc cada seis meses

sustainalytics_controv_detail:
Bribery and Corruption, Quality and Safety, Weapons

exposure_detail:
Armament Part (25%) /Prod (20%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",052528
ovr000023,01/09/2024,01/03/2025,4295856605,Australia and New Zealand Banking Group Ltd,str_003b,EXCLUDED,OK,True,,x,,,False,,False,,"NO APTA según Comité Inveractivo Confianza.
Pendiente decisión final. Temporalmente se permite una inversión infraponderada contra Benchmark en la STR003. 
Detalle de Clarity sobre el porcentaje de exposición: Airbus SE is the provider of ballistic missiles used in the French nuclear arsenal through its participation in the ArianeGroup (50%) and MBDA (37.5%) joint ventures. The company reports Ariane and MBDA total revenues in its 2021 annual report, p23 which amount to 3.15 billion EUR (taking into account Airbus' share) and accounts for approx 6% of Airbus' total revenues (ranging between 0%-10%).
Update dic-23: se aplican overwrites a las estrategias afectadas que reflejan las decisiones tomadas sobre la exposición a cada una de las actividades controvertidas que derivan en exclusiones:
1. Nuclear weapons (15%). Tras el análisis detallado de toda la información disponible. Jose Mazoy decidió que la exposición a nuclear weapons no es correcta, por lo que se dejan de tener en cuenta los valores del feed de Clarity para esa actividad.
2. Armament Prod/Part (15-25%). Se considera que la producción no supera los 12% y la participación es incluso menor.
3. Controversia no significativa  (nivel 3 en Sustainalytics). Se aplica el overwrite de OK.
Update Mar-24: se lleva a cabo la reunión de revisión en la que se comprueban que no han habido cambios en los KPIs propuestos, por lo que se emplaza la nueva revisión en un plazo de seis meses a contar desde este mes 
Update Sep - 24: tras no encontrarse evidencias de cambios en los KPIs q se monitorizan cada seis meses, se mantienen los ovrs

latest_comment:
En revisión ad-hoc cada seis meses

sustainalytics_controv_detail:
Bribery and Corruption, Quality and Safety, Weapons

exposure_detail:
Armament Part (25%) /Prod (20%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",052528
ovr000024,01/09/2024,01/03/2025,4295856605,Australia and New Zealand Banking Group Ltd,str_004,EXCLUDED,OK,True,,x,,,False,,False,,"Aplicado OVR en el pasado. Actualmente ISR considera que no es necesario aplicar OVR y que el resultado de Clarity es correcto.
Historico:
Update jun-23: Clarity considera que ya no existe controversia severa/critica.
Update nov-23: Se aplica overwrite de OK en las estrategias STR001, STR003, STR004, STR006, STR007 y ART8 porque aunque Clarity ha actualizado el nivel de severidad de la controversia, el informe de Sustainalytics actualizado a noviembre 2023 no señala un aumento severidad de la controversia (4)
Update feb-24: Clarity baja el nivel de severidad de la controversia (20) por lo que se eliminan los overwrites. Se aplica overwrite temporal de OK en la STR004, STR007, CS001 y CS003 por estar pendiente análisis del scoring de la compañía tras la actualización de las metricas de la matriz de materialidad.
Revisión jul-24: se mantienen los ovr porque no ha cambiado nada en la compañía desde el último comentario. Es uno de los emisores afectados por la salida de Refinitiv por lo que hay que esperar a la nueva metodología para terminar de decidir
Update sep-24: se mantienen los ovrs de FLAG ya que no ha cambiado la evaluación de Sustainalytics y aunque por Clarity tb es FLAG prefiero mantener el ovr para evitar falsos resultdo si cambia la evaluación de Clarity

latest_comment:
Revisión sep-24: se mantienen los ovrs al no haber cambio en la controversia

sustainalytics_controv_detail:
Anticompetitive practices

exposure_detail:
Alcohol Prod (5%), Gambling Part (5%)",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",052528
ovr000025,01/09/2024,01/03/2025,4295856605,Australia and New Zealand Banking Group Ltd,str_005,EXCLUDED,OK,True,,x,,,False,,False,,"May-24: OVR por controversia en en las estrategias que excluyen controversias generales de máxima severidad en Sustainalytics de 5/5 por business ethics
Update ago-24: no hay variación de la situación de la controversia. Se mantienen los ovrs
Rev ene-25: se mantienen los ovrs por controversia

latest_comment:
Revisada en ene-25: se mantiene los ovrs existentes

sustainalytics_controv_detail:
Business ethics

exposure_detail:
",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",052528
ovr000026,01/09/2024,01/03/2025,4295856605,Australia and New Zealand Banking Group Ltd,str_006,EXCLUDED,OK,True,,x,,,False,,False,,"May-24: OVR por controversia en en las estrategias que excluyen controversias generales de máxima severidad en Sustainalytics de 5/5 por business ethics
Update ago-24: no hay variación de la situación de la controversia. Se mantienen los ovrs
Rev ene-25: se mantienen los ovrs por controversia

latest_comment:
Revisada en ene-25: se mantiene los ovrs existentes

sustainalytics_controv_detail:
Business ethics

exposure_detail:
",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",052528
ovr000027,01/09/2024,01/03/2025,4295856605,Australia and New Zealand Banking Group Ltd,cs_002,EXCLUDED,OK,True,,x,,,False,,False,,"May-24: OVR por controversia en en las estrategias que excluyen controversias generales de máxima severidad en Sustainalytics de 5/5 por business ethics
Update ago-24: no hay variación de la situación de la controversia. Se mantienen los ovrs
Rev ene-25: se mantienen los ovrs por controversia

latest_comment:
Revisada en ene-25: se mantiene los ovrs existentes

sustainalytics_controv_detail:
Business ethics

exposure_detail:
",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",052528
ovr000028,01/09/2024,01/03/2025,4295856605,Australia and New Zealand Banking Group Ltd,cs_003,EXCLUDED,OK,True,,x,,,False,,False,,"May-24: OVR por controversia en en las estrategias que excluyen controversias generales de máxima severidad en Sustainalytics de 5/5 por business ethics
Update ago-24: no hay variación de la situación de la controversia. Se mantienen los ovrs
Rev ene-25: se mantienen los ovrs por controversia

latest_comment:
Revisada en ene-25: se mantiene los ovrs existentes

sustainalytics_controv_detail:
Business ethics

exposure_detail:
",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",052528
ovr000029,01/09/2024,01/03/2025,8589934205,Banco Santander SA,str_001,EXCLUDED,OK,True,,x,,,False,,False,,"May-24: OVR por controversia en en las estrategias que excluyen controversias generales de máxima severidad en Sustainalytics de 5/5 por business ethics
Update ago-24: no hay variación de la situación de la controversia. Se mantienen los ovrs
Rev ene-25: se mantienen los ovrs por controversia

latest_comment:
Revisada en ene-25: se mantiene los ovrs existentes

sustainalytics_controv_detail:
Business ethics

exposure_detail:
",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",007699
ovr000030,01/09/2024,01/03/2025,8589934205,Banco Santander SA,str_002,EXCLUDED,OK,True,,,,x,False,,False,,"May-24: OVR por controversia en en las estrategias que excluyen controversias generales de máxima severidad en Sustainalytics de 5/5 por business ethics
Update ago-24: no hay variación de la situación de la controversia. Se mantienen los ovrs
Rev ene-25: se mantienen los ovrs por controversia

latest_comment:
Revisada en ene-25: se mantiene los ovrs existentes

sustainalytics_controv_detail:
Business ethics

exposure_detail:
",,"{user : Tristan Soler,upload_date : 20250224,upload_method : manual,operation : create}",007699
